cord_uid,source_x,title,license,abstract,publish_time,authors,journal,publish_year,abstract_word_count
7l81mzwn,PMC,A Framework for Feature Selection to Exploit Feature Group Structures,no-cc,"Filter feature selection methods play an important role in machine learning tasks when low computational costs, classifier independence or simplicity is important. Existing filter methods predominantly focus only on the input data and do not take advantage of the external sources of correlations within feature groups to improve the classification accuracy. We propose a framework which facilitates supervised filter feature selection methods to exploit feature group information from external sources of knowledge and use this framework to incorporate feature group information into minimum Redundancy Maximum Relevance (mRMR) algorithm, resulting in GroupMRMR algorithm. We show that GroupMRMR achieves high accuracy gains over mRMR (up to [Formula: see text]35%) and other popular filter methods (up to [Formula: see text]50%). GroupMRMR has same computational complexity as that of mRMR, therefore, does not incur additional computational costs. Proposed method has many real world applications, particularly the ones that use genomic, text and image data whose features demonstrate strong group structures.",2020-04-17,"Perera, Kushani; Chan, Jeffrey; Karunasekera, Shanika",Advances in Knowledge Discovery and Data Mining,2020.0,156
fhqm1y9h,PMC,Patent reports,no-cc,No Abstract,2002-12-10,Anonymous,Enzyme Microb Technol,2002.0,2
xfyavk3m,PMC,Fibroblastic reticular cells regulate intestinal inflammation via IL-15-mediated control of group 1 ILCs,no-cc,"Fibroblastic reticular cells (FRCs) of secondary lymphoid organs form distinct niches for interaction with hematopoietic cells. We found here that production of the cytokine IL-15 by FRCs was essential for the maintenance of group 1 innate lymphoid cells (ILCs) in Peyer's patches and mesenteric lymph nodes. Moreover, FRC-specific ablation of the innate immunological sensing adaptor MyD88 unleashed IL-15 production by FRCs during infection with an enteropathogenic virus, which led to hyperactivation of group 1 ILCs and substantially altered the differentiation of helper T cells. Accelerated clearance of virus by group 1 ILCs precipitated severe intestinal inflammatory disease with commensal dysbiosis, loss of intestinal barrier function and diminished resistance to colonization. In sum, FRCs act as an 'on-demand' immunological 'rheostat' by restraining activation of group 1 ILCs and thereby preventing immunopathological damage in the intestine. SUPPLEMENTARY INFORMATION: The online version of this article (doi:10.1038/ni.3566) contains supplementary material, which is available to authorized users.",2016-10-31,"Gil-Cruz, Cristina; Perez-Shibayama, Christian; Onder, Lucas; Chai, Qian; Cupovic, Jovana; Cheng, Hung-Wei; Novkovic, Mario; Lang, Philipp A; Geuking, Markus B; McCoy, Kathy D; Abe, Shinya; Cui, Guangwei; Ikuta, Koichi; Scandella, Elke; Ludewig, Burkhard",Nat Immunol,2016.0,152
wzt9w46s,PMC,Genome Sequences of Rhinovirus C Isolates from Wisconsin Pediatric Respiratory Studies,cc-by,Human rhinovirus (RV) isolates from the RV-C species are recently discovered infectious agents that are closely linked to asthma and wheezing etiologies in infants. Clinical study samples collected at the University of Wisconsin–Madison describe 41 nearly complete genome sequences representing 21 RV-C genotypes.,2014-03-27,"Liggett, Stephen B.; Bochkov, Yury A.; Pappas, Tressa; Lemanske, Robert F.; Gern, James E.; Sengamalay, Naomi; Zhao, Xuechu; Su, Qi; Fraser, Claire M.; Palmenberg, Ann C.",Genome Announc,2014.0,43
tdqp8u7u,PMC,"Retractions, Fake Peer Reviews, and Paper Mills",cc-by-nc,No Abstract,2021-05-28,"Rivera, Horacio; Teixeira da Silva, Jaime A.",J Korean Med Sci,2021.0,2
68vo34ce,PMC,Die Rolle des Internets als medizinische Informationsquelle für orthopädische Patienten,cc-by,"INTRODUCTION: The advance of the digital revolution in medicine and health is called “e-health”. The Internet serves as a digital health information platform and is indispensable as a source of medical information. The aim of this work was to examine the behavior of orthopedic patients with respect to finding information on their illnesses. The role and the importance of the Internet as an informative health application for these patients are highlighted. MATERIALS AND METHODS: The basis of this prospective cross-sectional study was a patient survey in Germany of orthopedic patients from July 2019 to July 2020. Descriptive statistics were calculated, and regression analyses were carried out to show coherent results. RESULTS: We analyzed the responses of 1262 orthopedic patients. Most of them used the Internet as a digital health information platform. Patients rated their Internet skills as good to very good, regardless of age or educational level. Most respondents said that they currently use the Internet at least once a week to find out about their orthopedic illnesses. Patients reported a positive change in attitude towards the Internet as a digital source of medical information, and its use has increased in the past 12 months. CONCLUSION: The Internet as an informative digital health application in orthopedics is used intensively and is widely accepted by patients. While mistrust of orthopedic health information from the Internet has decreased, patient confidence in meaningful digital health information platforms has increased. The Internet is seen as a useful health information platform alongside medical advice.",2022-03-29,"Hertling, Stefan; Matziolis, Georg; Graul, Isabel",Orthopade,2022.0,249
0p5k2z8x,PMC,A New Year!,no-cc,No Abstract,2021-02-04,"Abdulla, Ra-id",Pediatr Cardiol,2021.0,2
fx3k2jht,PMC,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Outbreak and National and Hospital Response in Korea,no-cc,No Abstract,2017-04-20,"Wang, Soon-Joo",Prehosp Disaster Med,2017.0,2
dxu7ajse,PMC,Prioritizing Training Needs of School Health Staff: The Example of Vietnam,cc-by,"Competencies of school health staff (SHS) members, including school nurses, are crucial to improving child and adolescent health. In Vietnam, although SHS members are dispatched to schools, they have limited training opportunities. This study identified SHS members’ training needs in a province of Vietnam. A cross-sectional, online survey was conducted with 204 SHS members. The performance and importance of SHS members’ competencies were measured using 59-items and rated by a 5-point Likert scale. SHS members’ training priorities were analyzed using the Borich Needs Assessment and the Locus for Focus model. Controlling infectious disease was the highest training priority while implementing health promotion programs was of relatively low priority. The high-priority training needs identified could be rendered mandatory in policy for continuing education of SHS members. Awareness of the importance of health promotion, which has been emphasized globally, should also be promoted via school health policy. These findings could guide development of future training programs for SHS members.",2020-08-01,"Kim, Sookyung; Lee, Hyeonkyeong; Lee, Hyeyeon; Loan, Bui Thi Thanh; Huyen, Le Thi Thanh; Huong, Nguyen Thi Thanh",Int J Environ Res Public Health,2020.0,157
v4pzrzv9,PMC,Lymphopenia and lymphocytosis in practical healthy people born and living in the North,cc-by,"INTRODUCTION: The purpose of this study was to elucidate the mechanisms of the formation of lymphopenia and lymphocytosis in healthy people, who are living and working in the Arctic region. MATERIALS AND METHODS: A total of 88 practically healthy people living and working in the Arctic region were examined. An analysis of the results was carried out, depending on the concentration of lymphocytes in the peripheral venous blood: group 1—with lymphopenia, the content of lymphocytes below 1.5 × 10(9)cl/L (21 people); group 2—with a normal lymphocyte content from 1.5 to 3.5 × 10(9)cl/L (47 people); and group 3—with lymphocytosis, lymphocytes in the peripheral blood of more than 3.5 × 10(9)cl/L (20 people). RESULTS: It has been established that the main mechanism for the formation of lymphopenia in a person living in the Arctic is the activation of the migration of functionally active lymphocytes in the tissue. The decrease in the number of circulating lymphocytes is a consequence of their redistribution from the circulating pool to the marginal one and an increase in the activity of adhesive molecules, in particular, the selectin ligand. It was revealed that an increase in the content of lymphocytes in the blood occurs upon the activation of the intracellular energy‐intensive mechanisms of lymphoproliferation with an increase in the consumption of intracellular ATP and the participation of the nuclear factor of activated T cells 1. It was shown that the restoration of the circulating pool of mature neutrophils is ensured by the principle of reverse regulation in response to neutropenia by stimulating granulocyte‐colony stimulating factor granulopoiesis. CONCLUSIONS: The main mechanism for the formation of lymphopenia and lymphocytosis in healthy people was established.",2020-05-16,"Patrakeeva, Veronika P.; Dobrodeeva, Liliya K.",Immun Inflamm Dis,2020.0,275
9sq7kcek,PMC,Infektionen mit β-hämolysierenden Streptokokken der Gruppe A (GABS) und Streptokokkenfolgeerkrankungen,no-cc,"Group A β-hemolytic streptococci (GABS) are among the most frequent causes of bacterial infections during childhood. In addition to well-known local infections, scarlet fever, and sepsis, streptococcal toxic shock syndrome (STSS) and necrotizing fasciitis (NF) have been noted with increasing frequency.NF can also be induced in children by superinfected varicella, which is associated with a higher mortality rate.Triggering factors include pathogen-specific capsular proteins, virulent factors, and toxins as superantigens. Immunological quick tests display high reliability, and PCR enables analyses of types and toxins.Furthermore, type-specific streptococcal sequelae can be caused by group C streptococci.Rheumatic fever is rather rare in industrialized nations, but cardiac involvement accurs more frequent than previously assumed.Chorea apparently correlates with neuronal antibodies, as do pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections (PANDAS),and a series of cases of acute disseminated encephalomyelitis (ADEM) associated with streptococci have also been reported. No resistance to penicillin exists, but pathogenic persistence remains a problem.A 26-M valent vaccine is in clinical trials, but is still subject to controversy.",,"Keitzer, R.",Monatsschr Kinderheilkd,,165
wq5jvdx3,PMC,Two Sides of a Coin: a Zika Virus Mutation Selected in Pregnant Rhesus Macaques Promotes Fetal Infection in Mice but at a Cost of Reduced Fitness in Nonpregnant Macaques and Diminished Transmissibility by Vectors,cc-by,"Although fetal death is now understood to be a severe outcome of congenital Zika syndrome, the role of viral genetics is still unclear. We sequenced Zika virus (ZIKV) from a rhesus macaque fetus that died after inoculation and identified a single intrahost substitution, M1404I, in the ZIKV polyprotein, located in nonstructural protein 2B (NS2B). Targeted sequencing flanking position 1404 in 9 additional macaque mothers and their fetuses identified M1404I at a subconsensus frequency in the majority (5 of 9, 56%) of animals and some of their fetuses. Despite its repeated presence in pregnant macaques, M1404I has occurred rarely in humans since 2015. Since the primary ZIKV transmission cycle is human-mosquito-human, mutations in one host must be retained in the alternate host to be perpetuated. We hypothesized that ZIKV I1404 increases viral fitness in nonpregnant macaques and pregnant mice but is less efficiently transmitted by vectors, explaining its low frequency in humans during outbreaks. By examining competitive fitness relative to that of ZIKV M1404, we observed that ZIKV I1404 produced lower viremias in nonpregnant macaques and was a weaker competitor in tissues. In pregnant wild-type mice, ZIKV I1404 increased the magnitude and rate of placental infection and conferred fetal infection, in contrast to ZIKV M1404, which was not detected in fetuses. Although infection and dissemination rates were not different, Aedes aegypti mosquitoes transmitted ZIKV I1404 more poorly than ZIKV M1404. Our data highlight the complexity of arbovirus mutation-fitness dynamics and suggest that intrahost ZIKV mutations capable of augmenting fitness in pregnant vertebrates may not necessarily spread efficiently via mosquitoes during epidemics. IMPORTANCE Although Zika virus infection of pregnant women can result in congenital Zika syndrome, the factors that cause the syndrome in some but not all infected mothers are still unclear. We identified a mutation that was present in some ZIKV genomes in experimentally inoculated pregnant rhesus macaques and their fetuses. Although we did not find an association between the presence of the mutation and fetal death, we performed additional studies with ZIKV with the mutation in nonpregnant macaques, pregnant mice, and mosquitoes. We observed that the mutation increased the ability of the virus to infect mouse fetuses but decreased its capacity to produce high levels of virus in the blood of nonpregnant macaques and to be transmitted by mosquitoes. This study shows that mutations in mosquito-borne viruses like ZIKV that increase fitness in pregnant vertebrates may not spread in outbreaks when they compromise transmission via mosquitoes and fitness in nonpregnant hosts.",2020-11-23,"Lemos, Danilo; Stuart, Jackson B.; Louie, William; Singapuri, Anil; Ramírez, Ana L.; Watanabe, Jennifer; Usachenko, Jodie; Keesler, Rebekah I.; Sanchez-San Martin, Claudia; Li, Tony; Martyn, Calla; Oliveira, Glenn; Saraf, Sharada; Grubaugh, Nathan D.; Andersen, Kristian G.; Thissen, James; Allen, Jonathan; Borucki, Monica; Tsetsarkin, Konstantin A.; Pletnev, Alexander G.; Chiu, Charles Y.; Van Rompay, Koen K. A.; Coffey, Lark L.",J Virol,2020.0,411
zss38mct,PMC,Distribution and Risk Factors of 2009 Pandemic Influenza A (H1N1) in Mainland China,cc-by-nc,"Data from all reported cases of 2009 pandemic influenza A (H1N1) were obtained from the China Information System for Disease Control and Prevention. The spatiotemporal distribution patterns of cases were characterized through spatial analysis. The impact of travel-related risk factors on invasion of the disease was analyzed using survival analysis, and climatic factors related to local transmission were identified using multilevel Poisson regression, both at the county level. The results showed that the epidemic spanned a large geographic area, with the most affected areas being in western China. Significant differences in incidence were found among age groups, with incidences peaking in school-age children. Overall, the epidemic spread from southeast to northwest. Proximity to airports and being intersected by national highways or freeways but not railways were variables associated with the presence of the disease in a county. Lower temperature and lower relative humidity were the climatic factors facilitating local transmission after correction for the effects of school summer vacation and public holidays, as well as population density and the density of medical facilities. These findings indicate that interventions focused on domestic travel, population density, and climatic factors could play a role in mitigating the public health impact of future influenza pandemics.",2012-05-01,"Fang, Li-Qun; Wang, Li-Ping; de Vlas, Sake J.; Liang, Song; Tong, Shi-Lu; Li, Yan-Li; Li, Ya-Pin; Qian, Quan; Yang, Hong; Zhou, Mai-Geng; Wang, Xiao-Feng; Richardus, Jan Hendrik; Ma, Jia-Qi; Cao, Wu-Chun",Am J Epidemiol,2012.0,201
1gkonujz,PMC,Comprehensive comparison of upper and lower endoscopic small intestinal biopsy in cats with chronic enteropathy,cc-by-nc,"BACKGROUND: Integrating immunohistochemistry (IHC) and clonality testing with histopathology may improve the ability to differentiate inflammatory bowel disease (IBD) and alimentary small cell lymphoma (LSA) in cats. HYPOTHESIS/OBJECTIVES: To evaluate the utility of histopathology, IHC, and clonality testing to differentiate between IBD and LSA and agreement of diagnostic results for endoscopic biopsy (EB) samples from the upper (USI) and lower small intestine (LSI). ANIMALS: Fifty‐seven cats with IBD or LSA. METHODS: All cases were categorized as definitive IBD (DefIBD), possible LSA (PossLSA), probable LSA (ProbLSA), or definitive LSA (DefLSA) based on histopathology alone. Results from IHC and clonality testing were integrated. RESULTS: Based on histopathology alone, 24/57 (42.1%), 15/57 (26.3%), and 18/57 (31.6%) cats were diagnosed with DefIBD, PossLSA or ProbLSA, and DefLSA, respectively. After integrating IHC and clonality testing, 11/24 cases (45.8%) and 15/15 cases (100%) previously categorized as DefIBD and PossLSA or ProbLSA, respectively, were reclassified as LSA. A final diagnosis of IBD and LSA was reported in 13/57 (22.8%) and 44/57 (77.2%) cats, respectively. Agreement between USI and LSI samples was moderate based on histopathology alone (κ = 0.66) and after integrating IHC and clonality testing (κ = 0.70). However, only 1/44 (2.3%) of the LSA cases was diagnosed based on LSI biopsy alone. CONCLUSIONS AND CLINICAL IMPORTANCE: Integrating IHC and clonality testing increased the number of cases diagnosed with LSA, but the consequence for patient outcome is unclear. There was moderate agreement between USI and LSI samples. Samples from the LSI rarely changed the diagnosis.",2020-12-21,"Chow, Betty; Hill, Steve L.; Richter, Keith P.; Marsilio, Sina; Ackermann, Mark R.; Lidbury, Jonathan A.; Suchodolski, Jan S.; Cocker, Sarah; Steiner, Jörg M.",J Vet Intern Med,2020.0,249
jyak78hi,PMC,"Mortality prediction models, causal effects, and end-of-life decision making in the intensive care unit",cc-by-nc,No Abstract,2020-10-26,"Maley, Jason H; Wanis, Kerollos N; Young, Jessica G; Celi, Leo A",BMJ Health Care Inform,2020.0,2
yvshbx9f,PMC,An app to classify a 5-year survival in patients with breast cancer using the convolutional neural networks (CNN) in Microsoft Excel: Development and usability study,cc-by-nc,"BACKGROUND: Breast cancer (BC) is the most common malignant cancer in women. A predictive model is required to predict the 5-year survival in patients with BC (5YSPBC) and improve the treatment quality by increasing their survival rate. However, no reports in literature about apps developed and designed in medical practice to classify the 5YSPBC. This study aimed to build a model to develop an app for an automatically accurate classification of the 5YSPBC. METHODS: A total of 1810 patients with BC were recruited in a hospital in Taiwan from the secondary data with codes on 53 characteristic variables that were endorsed by professional staff clerks as of December 31, 2019. Five models (i.e., revolution neural network [CNN], artificial neural network, Naïve Bayes, K-nearest Neighbors Algorithm, and Logistic regression) and 3 tasks (i.e., extraction of feature variables, model comparison in accuracy [ACC] and stability, and app development) were performed to achieve the goal of developing an app to predict the 5YSPBC. The sensitivity, specificity, and receiver operating characteristic curve (area under ROC curve) on models across 2 scenarios of training (70%) and testing (30%) sets were compared. An app predicting the 5YSPBC was developed involving the model estimated parameters for a website assessment. RESULTS: We observed that the 15-variable CNN model yields higher ACC rates (0.87 and 0.86) with area under ROC curves of 0.80 and 0.78 (95% confidence interval 0.78–82 and 0.74–81) based on 1357 training and 540 testing cases an available app for patients predicting the 5YSPBC was successfully developed and demonstrated in this study. CONCLUSION: The 15-variable CNN model with 38 parameters estimated using CNN for improving the ACC of the 5YSPBC has been particularly demonstrated in Microsoft Excel. An app developed for helping clinicians assess the 5YSPBC in clinical settings is required for application in the future.",2022-01-28,"Lin, Cheng-Yao; Chien, Tsair-Wei; Chen, Yen-Hsun; Lee, Yen-Ling; Su, Shih-Bin",Medicine (Baltimore),2022.0,300
dpy51s3w,PMC,Crystal Structure of the 2′‐Specific and Double‐Stranded RNA‐Activated Interferon‐Induced Antiviral Protein 2′‐5′‐Oligoadenylate Synthetase,no-cc,"2′‐5′‐oligoadenylate synthetases are interferon‐induced, double‐stranded RNA‐activated antiviral enzymes which are the only proteins known to catalyse 2′‐specific nucleotidyl transfer. This first crystal structure of a 2′‐5′‐oligoadenylate synthetase reveals a structural conservation with the 3′‐specific poly(A) polymerase that, coupled with structure‐guided mutagenesis, supports a conserved catalytic mechanism for the 2′‐ and 3′‐specific nucleotidyl transferases. Comparison with structures of other superfamily members indicates that the donor substrates are bound by conserved active site features while the acceptor substrates are oriented by nonconserved regions. The 2′‐5′‐oligoadenylate synthetases are activated by viral double‐stranded RNA in infected cells and initiate a cellular response by synthesizing 2′‐5′‐oligoadenylates, that in turn activate RNase L. This crystal structure suggests that activation involves a domain–domain shift and identifies a putative dsRNA activation site that is probed by mutagenesis. We demonstrated that this site is required both for the binding of dsRNA and for the subsequent activation of OAS. This RNA‐binding site is different from known RNA‐binding site; rather than forming a defined three‐dimensional domain, it is located at the interface of the two major domains in OAS. This novel architecture ensures that the dsRNA helix can make simultaneously contact with both domains of OAS and ensure the subsequent structural rearrangement leading to the activation of OAS. Our work provides structural insight into cellular recognition of double‐stranded RNA of viral origin and identifies a novel RNA‐binding motif.",2008-06-28,"Hartmann, R.; Justesen, J.; Sarkar, S.; Sen, G.; Yee, V.",Scand J Immunol,2008.0,227
mtnftitm,PMC,Klimawandel – die Ängste der Jungen,no-cc,No Abstract,2022-04-21,"Kerbl, Reinhold",Monatsschr Kinderheilkd,2022.0,2
d34tyar7,PMC,Dried Plasma,no-cc,"Dried plasma provides an alternative for early plasma transfusion in the resuscitation of hemorrhagic shock in environments where fresh frozen plasma is not immediately available. It is produced by freeze-drying or spray-drying liquid or thawed plasma. It is shelf-stable for prolonged periods, can be stored at room temperature, and is easy to transport, reconstitute, and administer. It was widely used in WWII but fell out of favor due to the risk of infectious disease transmission. The German and French experiences with lyophilized plasma are the most extensive and show a good track record of efficacy and safety. Recent studies show many beneficial effects of dried plasma in the treatment of shock in large animal models. Currently, no FDA-licensed product is available in the USA, but several are under development.",2019-05-06,"Zaza, Mouayyad; Kalkwarf, Kyle J.; Holcomb, John B.",Damage Control Resuscitation,2019.0,129
5dp9eq1z,PMC,Molecular Characterization of Outer Capsid Proteins VP5 and VP7 of Grass Carp Reovirus,cc-by,"Aquareovirus, which is a member of the Reoviridae family, was isolated from aquatic animals. A close molecular evolutionary relationship between aquareoviruses and mammalian orthoreoviruses was revealed. However, the functions of the aquareovirus genome-encoded proteins are poorly understood. We investigated the molecular characteristics of the outer capsid proteins, namely, VP5 and VP7, of grass carp reovirus (GCRV). The peptides VP5 and VP7 were determined using in-gel tryptic digestion and mass spectrometry. Recovered peptides represented 76% and 66% of the full-length VP5 and VP7 sequences, respectively. Significantly, two-lysine acetylation, as well as two-serine and two-threonine phosphorylation modifications, were first revealed in VP5. We found that the initial amino acid in VP5 was Pro43, suggesting that a lower amount of VP5 remained uncleaved in virions at the autocleavage site (Asn42-Pro43). Further biochemical evidence showed that the cleaved VP5N/VP5C conformation was the major constituent of the particles. Moreover, early cleavage fragments of VP7 and enhanced infectivity were detected after limited tryptic digestion of GCRV, indicating that stepwise VP7 cleavage is essential for VP5 conformational rearrangement. Our results provide insights into the roles of posttranslational modifications in VP5 and its association with VP7 in the viral life cycle.",2022-05-12,"Zhang, Fuxian; Sun, Diangang; Fang, Qin",Viruses,2022.0,193
hdhzqmxs,PMC,Genomics and Foodborne Viral Infections,no-cc,"Foodborne viral illness, resulting from the consumption of contaminated food or water containing pathogenic viruses, remains a major public health problem globally with substantial economic impact. Major challenges regarding recognizing, detecting, characterizing, and effectively responding to foodborne viral threats to health exist. Adequate health crisis management is largely dependent on early detection of potential public health threats, which is hampered by changing trends in disease outbreaks, from localized clusters of disease in confined populations to dispersed outbreaks with excellent opportunity for further transmission. In addition, no precise and consistent global baseline syndrome and diagnostic surveillance information exists. An integrated multidisciplinary approach with a combination of sustained pathogen syndrome and diagnostic surveillance, genomics-based, and standardized global analytical networks gathering clinical, epidemiological and genetic data alike would be required to understand the dynamics of foodborne viral infection and to mitigate potential effects of future threats. A huge global effort in virus syndrome and diagnostic surveillance may be justified in the light of global health impact in general, and timely with the development of new metagenomics tools that hold the promise of not only identifying viral pathogens, but possibly the complete microbiome in a single assay.",2017-01-24,"Smits, Saskia L.; Koopmans, Marion P. G.",Applied Genomics of Foodborne Pathogens,2017.0,193
